% WAVES/D	q_para	BS	BS_err	apical	apical_err	A1g	A1g_err
	0.1	0.08689281204304157	0.004127828566386376	0.05283140769699655	0.001289695757548368	0.04355226818870576	0.001832716165634028
	0.12	0.08239759245792133	0.002312119525400505	0.05375741037788767	0.0013530909854878	0.045	                0.001300478640331282
	0.14	0.08384769760067345	0.002254108247280233	0.05205620621115933	0.003439431988447893	0.04500000000000002	0.004673875699600448
	0.16	0.08015226144677515	0.001353308354535424	0.05223291022126469	0.00190135495977597	0.04348660469555102	0.002584960382224014
	0.18	0.07780197837951348	0.00217884588121325	0.05183471903764187	0.001308641603975191	0.03889436896351311	0.001959614814478954
	0.2	0.07529219102762688	0.00177662939132458	0.0506628901346448	0.00326847593790084	0.04000036882295063	0.004646054270015267
	0.21	0.07591532136934825	0.001447852737076576	0.05134052694777513	0.001596512537591767	0.03733072439841943	0.002400057333783818
	0.22	0.07201502122191268	0.001227289694778342	0.04970486555830989	0.001048370724491868	0.03342935117747734	0.001594954936379173
	0.23	0.07332371238005604	0.001398412216168276	0.05048883048409292	0.001383058456327982	0.03540259341851328	0.002064642737512516
	0.24	0.06757561067716597	0.001668948805136219	0.04774279033857848	0.001903545105645447	0.03	                0.002900765678617773
	0.25	0.06992769430866629	0.001207724956114598	0.0500893538901299	0.001430020503120845	0.03342681522978899	0.001820068488578187
	0.26	0.06734937038480306	0.0007500379527861681	0.04778061266661003	0.001637603523505782	0.0310475376110674	0.002772163449811338
	0.27	0.06941802929000698	0.001591448054596505	0.05035527399948338	0.001960541267363263	0.03318340471451433	0.002950176016993086
	0.28	0.06966701802619651	0.001435506185656434	0.05266346549261171	0.001794558802368761	0.03543770689556049	0.002170543810105609

